id;tidak_baku;baku
1;k6;koridor 6
2;waaahhh;wah
3;ny;nya
4;wuiii;wui
5;kereen;keren
6;kor;koridor
7;ps raya;pasar raya
8;kereeeennnnn;keren
9;untuak;untuk
10;bilo;kapan
11;kk;kakak
12;kka;kakak
13;nnya;tanya
14;haloooo;halo
15;n;dan
16;dduknya;duduknya
17;nerdiri;berdiri
18;t4;tempat
19;k5;koridor 5
20;smoga;semoga
21;biar;agar
22;berpa;berapa
23;mantepp;mantap
24;wihhh;wih
25;trtata;tertata
26;bda;beda
27;gimna;bagaimana
28;maauk;masuk
29;mantappp;mantap
30;gaa;tidak
31;ado;ada
33;banun;namun
34;kalai;kalau
35;ndg;tidak
36;full;penuh
37;baabuiih;kepanasan
39;ttp;tetap
40;gabisa;tidak bisa
41;nice;bagus
42;simp;simpang
43;kasa;kasar
44;jan;jangan
45;handak nyo;sebaiknya
46;cpet;cepat
47;next time;lain waktu
48;k1;koridor 1
49;gmna;bagaimana
50;bayat;bayar
51;disna;disana
52;k4;koridor 4
53;nggu;nunggu
54;driver;sopir
55;nyo;nya
56;acok bana;sering sekali
57;kabaanyo;kabarnya
58;gag;tidak
59;error;eror
60;prnh;pernah
61;smpi;sampai
62;akhrnya;akhirnya
63;ank;anak
64;indg;tidak
65;jo;dengan
66;supir;sopir
67;oto;mobil
68;tarimo;terima
70;d agiah;dikasih
71;kaluaan;keluarkan
72;apolai;apalagi
73;ka;mau
74;rayoo;raya
75;maniayo;menganiaya
76;lai;lagi
77;namonyo;namanya
78;mode iko;seperti ini
79;tntg;tentang
80;ttup;tutup
81;sttsnya;statusna
82;trsbt;tersebut
83;fake;palsu
84;dmn;dimana
85;kek nya;sepertinya
86;puskot;pusat kota
87;launching;peresmian
88;launchi;peresmian
89;kwatir;khawatir
90;berhentu;berhenti
91;upgrade;perbaharui
92;apakh;apakah
93;y;ya
94;jadih juo;oke juga
95;soalno;soalnya
96;masyarakaik;masyarakat
97;cukuik;cukup
98;operasionalno;operasionalnya
99;sakurang;setidaknya
100;buliah;boleh
101;keesel;kesal
102;separo;setengah
103;ps;pasar
104;trmks;terimakasih
105;sampe;sampai
106;lg;lagi
108;sy;saya
109;usdh;sudah
110;stand by;siap siaga
112;doang;saja
113;nantik;nanti
114;ngak;tidak
115;good job;kerja bagus
116;dtangnya;datangnya
117;stiap;setiap
118;lwat;lewat
119;dtg;datang
120;tepe;trans padang
121;jalang;jarang
122;mantaap;mantap
123;kenak;kena
124;bsk;besok
125;baok;bawa
126;keateh;ke atas
127;urg;orang
128;awak;kita
129;mdh2an;mudah mudahan
131;urang;orang
132;nan;yang
133;indak;tidak
134;caliak;lihat
135;iko;ini
136;duduak;duduk
137;gaek;tua
138;tapaso;terpaksa
139;tagak;berdiri
140;dihale;dihalte
141;diparancak;diperbaiki
142;hakte;halte
143;jadinyo;jadinya
144;markir;parkir
145;binggung;bingung
146;bukak;buka
147;msh;masih
148;jauah;jauh
149;manunggu;menunggu
150;kok adoh;kalau ada
151;cubo;coba
152;beko;nanti
154;naiak;naik
155;buek liak;buat lagi
157;pasa;pasar
158;juo;juga
159;apo;apa
160;launcing;peresmian
161;kecek nyo;katanya
162;sosmed;media sosial
163;tagarok;tertipu
164;pulo;pula
165;manantian;menantikan
166;tgl;tanggal
167;beropersinya;beroperasinya
168;detect;deteksi
169;list;daftar
170;mo;mau
171;diitung;dihitung
172;2x;dua kali
173;1x;sekali
174;ap;apa
175;sorry;maaf
176;mauuu;mau
177;bayia;bayar
178;labiah;lebih
179;bangeeett;banget
180;alah;sudah
181;batahan;ditahan
182;sblomnya;sebelumnya
183;aktifny;aktifnya
184;terimksih;terimakasih
185;menbanttu;membantu
186;sngt;sangat
187;bru;baru
188;music;musik
189;regis;registrasi
191;ewallet;e wallet
192;haktenya;haltenya
193;tp;trans padang
194;bsa;bisa
195;or;atau
196;kyak;kayak
197;berenti;berhenti
198;transpadang;trans padang
199;transpadangnya;trans padang
200;palang;plang
201;stop;berhenti
202;smpai;sampai
203;blngnyaa;bilangnya
204;lah kalua;sudah keluar
205;jln;jalan
206;hny;hanya
207;mkn;makan
208;hr;hari
209;kabanyo;kabarnya
210;apolagi;apalagi
211;karayo;mau raya
212;cape²;cape
213;really;sungguh
214;trntang;tentang
215;ngangkut;angkut
216;orng;orang
217;maanta;mengantar
218;pai;pergi
219;bisuk;besok
220;panuah;penuh
221;mamanuahan;memenuhi
222;acok bna;sering sekali
223;taniayo;teraniaya
224;lb buayo;lubuk buaya
225;taulang;terulang
226;baliak;kembali
227;narik;beroperasi
228;lewatin;lewatkan
230;untu;untuk
231;dijln;di jalan
232;worth it;sepadan
233;beraktifitas;beraktivitas
234;dll;dan lain lain
236;bisaa;bisa
237;yookk;yuk
238;qriss;qris
239;problem;masalah
240;sdgkan;sedangkan
241;oake;pakai
242;langsuang;langsung
243;yanmpein;menyampaikan
244;lancarain;lancarkan
245;pake;pakai
246;skarang;sekarang
247;nggk;tidak
248;e money;emoney
249;adaaa;ada
250;sopipay;shopeepay
251;free;gratis
252;info;informasi
254;lebuh;lebih
255;space;ruang
256;gajelas;tidak jelas
257;transp;trans padang
258;whatsap;whatsapp
259;wa;whatsapp
260;tnya;tanya
261;pkir;pikir
263;dlu;dahulu
264;dibikin;dibuat
265;aja;saja
266;yeyy;yey
267;mksdnya;maksudnya
268;bs;bisa
269;mantaffff;mantap
270;hmpir;hampir
271;aktifitas;aktivitas
272;poli;politeknik
273;bsuk;besok
274;kantua;kantor
275;pdg;padang
276;nyamann;nyaman
277;ndk;tidak
