_id;stopwords
1;assalamualaikum
2;admin
3;tu
4;nya
5;wui
6;anjir
7;wtf
8;plis
9;woi
10;the
11;dah
12;hadir
13;hwaa
14;nih
15;yo
16;huhu
17;haha
18;eitt
19;wah
20;aaa
21;woohoooo
22;owh
23;wkwk
24;deh
25;ups
26;sih
27;ygy
28;cie
29;mah
30;hufttt
31;haa
32;hadeh
33;ondeh
34;kek
35;yey
36;yeah
37;tanggal
38;wib
39;mande
40;widih
41;loh
42;bapak
43;ibu
44;kakak
45;abang
46;njeer
47;wow
48;mba
49;hehe
50;bagai
51;anjing
52;wee
53;kampret
54;kalera
55;goblok
56;ahay
57;wopwopp
58;lha
59;hah
60;haduh
61;Olalaaaa
62;yaeeeelaaaa
63;boss
64;yah
65;tuh
66;slebeww
67;chuakzzzz
68;upss
69;ndan
70;eh
71;aa
72;sahabat
73;saudara
74;kang
75;mbak
76;oih
77;la
78;lah
79;mamak
80;kan
81;nes
82;juragan
83;komandan
84;buya
85;hen
86;doh
87;mh
88;nan
89;itu
90;ini
91;wis
92;yuhu
93;heh
94;do
95;setemmm
96;yee
97;kanciang
98;hhaa
99;waaa
100;dangg
101;bung
102;cc
103;yeyy
104;asseloleee
105;preet
106;dua
107;tiga
108;satu
109;we
110;ndehh
111;bantu
113;tuan
114;hmmm
115;op
116;uda
117;wk
118;teman
119;awak
120;wak
121;niee
122;anak
123;bunda
124;saya
125;kita
126;kami
127;alias
128;saat
129;akan
130;mungkin
131;kok
132;sip
134;datuak
135;mex
136;hai
137;uti
138;tanda
139;huhuh
140;abel
141;sini
142;iya
143;terus
144;kali
145;amin
147;ohiya
148;aku
149;kamu
150;anda
151;mat
152;pilakut
153;dahlah
154;maaa
155;halo
156;jadi
157;ckck
158;izin
159;assamualaikum
160;langgan
161;dong
162;sii
163;eeeee
164;lho
165;hari
166;kemarin
167;lalu
168;duh
169;uniang
170;yuk
171;nuril
172;yeee
173;ipah
174;fufu
175;weh
176;aaaa
177;nah
178;dih
179;yudi
180;yudd
181;huee
182;cuy
183;adik
184;aye
185;rupa
186;jiwa
187;waduh
188;kelipatan
190;jurisa
192;beb
193;yra
194;disitu
195;disana
196;ber
197;nge
198;segitu
199;per
200;jum
201;tcuuu
202;koo
203;gacoor
204;yeeeee
205;hihi
206;dkk
207;oooo
208;weess
209;jones
