_id;stopwords
1;lubeg
2;lubuk 
3;begalung
4;bypass
5;perintis
6;pasar
7;raya
8;indarung
9;universitas
10;andalas
11;upi
12;unp
13;samudera
14;pantai
15;simpang
16;tabing
17;bandar
18;minangkabau
19;stasiun
20;tabing
21;pusat
22;kota
23;radiator
24;kampus
25;rumah
26;sakit
27;pantai
28;pasbar
29;kandang
30;bali
31;medan
32;lantamal
33;aia
34;buayo
35;pos
36;kantor
37;kuranji
38;imambonjol
39;uin
40;sungai
41;ulkar
42;baypass
43;pisang
44;bangek
45;minturun
46;sungai
47;lareh
48;belimbing
49;pasar
50;baru
51;pasia
52;jamsek
53;mcdonald
54;jakarta
55;nurul
56;aspol
57;alai
58;imam
59;polsek
60;pauh
61;cgv
62;bonjol
63;rth
64;iman
65;cubadak
66;mutiara
67;pekanbaru
68;padati
69;batas
70;kota
71;bandara
72;gadut
73;kasang
74;tanah
75;sirah
76;bandar
77;patai
78;simpang
79;raya
80;puskesmas
81;sar
82;buat
83;pln
84;rimba
85;baru
86;datar
87;rimbo
88;data
89;lubuk
90;lurah
91;besi
92;spn
93;koridor
94;politeknik
95;negeri
96;mjd
97;tanjung
98;sabar
99;lap
100;andaleh
101;rsud
102;tabiang
103;ampang
104;azizi
105;mato
106;tekab
107;taruk
108;piai
109;tinju
110;alai
111;gauang
112;pasaraya
113;kurao
114;beremas
115;gunung
116;pacah
117;pa
118;lapai
119;jhoni
120;anwar
121;jati
122;siti
123;rahmah
124;transmart
125;transmar
126;pangilun
127;siteba
128;lapai
129;maransi
130;sisingamangaraja
131;belanti
132;raya
133;ganting
134;ujung
135;gurun
136;khatib
137;ulak
138;rsi
139;siti
140;ramah
141;rth
142;karang
143;basarnas
144;batipuh
145;panjang
146;katib
147;akper
148;sulaiman
149;sutan
150;syahrir
151;st
152;jati
153;aie
154;pacah
155;bayo
156;cendana
157;mato
158;angkot
159;pitameh
160;sarik
161;bola
162;cengkeh
163;kalumpang
164;subangek
165;pemuda
166;pampangan
167;buaya
168;purus
169;gadut
170;ulu
171;patai
172;limau
173;wali koa
174;aur
175;duri
176;gurung
177;laweh
178;banuaran
179;manis
180;lubay
181;teluk
182;kabung
183;bungus
184;bypas
185;laktamal
186;kelubuk
187;keteluk
188;koridor
189;ketaping
190;tanah
191;sirah
192;terima
193;kasih
194;kalau
195;medan
196;pekanbaru
197;jakarta
198;semoga
199;transportasi
200;umum
201;usul
202;saran
203;izin
204;sangat
205;alhamdulillah
206;lalu
207;hexindo
208;sucofindo
209;pemerintah
210;assalamualaikum
211;semoga
212;transjakarta
213;dong
214;segera
215;setiap
216;jadi
217;sejak
218;ketika
219;maaf
220;admin
221;kakak
222;apa
223;saya
224;atau
225;tetapi
226;selamat
227;agar
228;terima
229;kasih
230;untuk
231;kamu
232;juga
233;mau
234;perlu
235;lagi
236;tolong
237;baru
238;soalnya
239;kemarin
240;saya
241;begitu
242;saja
243;aba
244;memang
245;dengan
246;masukan
247;kadang
248;angkutan
249;kota
250;mohon
251;nya
252;bapak
253;dari
254;tadi
255;buat
256;hari
257;walau
258;upi
259;wui
260;wtf
261;anjir
262;kampus
263;ingin
264;karena
265;terus
266;pasti
267;kok
268;dong
269;seperti
270;dulu
271;dimana
272;anda
273;demi
274;yang
275;dan
276;lain
277;ini
278;itu
279;halo
280;plis
281;sudah
282;selalu
283;medan
284;metro
285;deli
286;kan
287;dongg
288;sekalian
289;alhamdulillah
290;maksudnya
291;transmetro
292;pekanbaru
293;misalnya
294;semua
295;agar
296;saat
297;widih
298;nih
299;yakin
300;hilir
301;sebenarnya
302;sih
303;kapan
304;padahal
305;pun
306;beberapa
307;maksud
308;benar
309;mau
310;saran
311;izin
312;dalam
313;dari
314;tadi
315;kenapa
316;ini
317;hari
318;ingin
319;tetap
320;dihimbau
321;kuliah
322;upi
323;bagaimana
324;apakah
325;apa
326;sesama
327;welah
328;pula
329;instagram
330;pun
331;masih
332;itulah
333;pernah
334;lho
335;ibunya
336;anak
337;tetangga
338;adzan
339;maghrib
340;setengah
341;keteluk
342;nya
343;wui
344;anjir
345;wtf
346;plis
347;woi
348;the
349;dah
350;hadir
351;hwaa
352;nih
353;huhu
354;haha
355;eitt
356;wah
357;aaa
358;woohoooo
359;owh
360;wkwk
361;deh
362;ups
363;sih
364;ygy
365;cie
366;mah
367;hufttt
368;haa
369;hadeh
370;ondeh
371;kek
372;yey
373;yeah
374;tanggal
375;wib
376;mande
377;widih
378;loh
379;bapak
380;ibu
381;kakak
382;abang
383;njeer
384;wow
385;mba
386;hehe
387;bagai
388;anjing
389;wee
390;kampret
391;kalera
392;goblok
393;ahay
394;wopwopp
395;lha
396;hah
397;haduh
398;Olalaaaa
399;yaeeeelaaaa
400;boss
401;yah
402;tuh
403;slebeww
404;chuakzzzz
405;upss
406;ndan
407;sahabat
408;saudara
409;kang
410;mbak
411;oih
412;lah
413;mamak
414;kan
415;nes
416;juragan
417;komandan
418;buya
419;hen
420;doh
421;mh
422;nan
423;itu
424;ini
425;wis
426;yuhu
427;heh
428;do
429;setemmm
430;yee
431;kanciang
432;hhaa
433;waaa
434;dangg
435;bung
436;yeyy
437;asseloleee
438;preet
439;we
440;ndehh
441;bantu
442;tuan
443;hmmm
444;uda
445;teman
446;awak
447;wak
448;niee
449;anak
450;bunda
451;saya
452;kita
453;kami
454;alias
455;saat
456;akan
457;mungkin
458;kok
459;sip
460;datuak
461;mex
462;hai
463;uti
464;tanda
465;huhuh
466;abel
467;sini
468;iya
469;terus
470;kali
471;amin
472;ohiya
473;aku
474;kamu
475;anda
476;mat
477;pilakut
478;dahlah
479;maaa
480;halo
481;jadi
482;ckck
483;izin
484;assamualaikum
485;langgan
486;dong
487;sii
488;eeeee
489;lho
490;hari
491;kemarin
492;lalu
493;duh
494;uniang
495;yuk
496;nuril
497;yeee
498;ipah
499;fufu
500;weh
501;aaaa
502;nah
503;dih
504;yudi
505;yudd
506;huee
507;cuy
508;adik
509;aye
510;rupa
511;jiwa
512;waduh
513;kelipatan
514;jurisa
515;beb
516;yra
517;disitu
518;disana
519;ber
520;nge
521;segitu
522;per
523;jum
524;tcuuu
525;koo
526;gacoor
527;yeeeee
528;hihi
529;dkk
530;oooo
531;weess
532;jones
533;trans
534;padang
535;mandeh
