_id;stopwords
1;lubeg
2;lubuk 
3;begalung
4;bypass
5;perintis
6;pasar
7;raya
8;indarung
9;universitas
10;andalas
11;upi
12;unp
13;samudera
14;pantai
15;simpang
16;tabing
17;bandar
19;minangkabau
20;stasiun
21;tabing
22;pusat
23;kota
24;radiator
25;kampus
26;rumah
27;sakit
28;pantai
29;pasbar
30;kandang
31;bali
32;medan
33;lantamal
34;aia
35;buayo
36;pos
37;kantor
38;kuranji
39;imambonjol
40;uin
41;sungai
42;ulkar
43;baypass
44;pisang
45;bangek
46;minturun
47;sungai
48;lareh
49;belimbing
50;pasar
51;baru
52;pasia
53;jamsek
54;mcdonald
55;jakarta
56;nurul
57;aspol
58;alai
59;imam
60;polsek
61;pauh
62;cgv
63;bonjol
64;rth
65;iman
66;cubadak
67;mutiara
68;pekanbaru
69;padati
70;batas
71;kota
72;bandara
73;gadut
74;kasang
75;tanah
76;sirah
77;bandar
78;patai
79;simpang
80;raya
81;puskesmas
82;sar
83;buat
84;pln
85;rimba
86;baru
87;datar
88;rimbo
89;data
90;lubuk
91;lurah
92;besi
93;spn
94;koridor
95;politeknik
96;negeri padang
97;mjd
98;tanjung
99;sabar
100;lap
101;andaleh
102;rsud
103;tabiang
104;ampang
105;azizi
106;mato
107;tekab
108;taruk
109;piai
110;tinju
111;alai
112;gauang
113;pasaraya
114;kurao
115;beremas
116;gunung
117;pacah
118;pa
119;lapai
120;jhoni
121;anwar
122;jati
123;siti
124;rahmah
125;transmart
126;transmar
127;pangilun
128;siteba
129;lapai
130;maransi
131;sisingamangaraja
132;belanti
133;raya
134;ganting
135;ujung
136;gurun
137;khatib
138;ulak
139;rsi
140;siti
141;ramah
142;rth
143;karang
144;basarnas
145;batipuh
146;panjang
147;katib
148;akper
149;sulaiman
150;sutan
151;syahrir
152;st
153;jati
154;aie
155;pacah
156;bayo
157;cendana
158;mato
159;angkot
160;pitameh
161;sarik
162;bola
163;cengkeh
164;kalumpang
165;subangek
166;pemuda
167;pampangan
168;buaya
169;purus
170;gadut
171;ulu
172;patai
173;limau
174;wali koa
175;aur
176;duri
177;gurung
178;laweh
179;banuaran
180;manis
181;lubay
182;teluk
183;kabung
184;bungus
185;bypas
186;laktamal
187;kelubuk
188;keteluk
189;koridor
190;ketaping
191;tanah
192;sirah
193;terima
194;kasih
195;kalau
196;medan
197;pekanbaru
198;jakarta
199;semoga
200;transportasi
201;umum
202;usul
203;saran
204;izin
205;sangat
206;mau
207;lalu
208;hexindo
209;sucofindo
210;lebih
211;banyak
212;alhamdulillah
213;pemerintah
214;assalamu'alaikum
215;admin
216;bapak
217;ibu
218;mbak
219;kakak
220;abang
221;kakek
222;juragan
223;pemerintah
226;angkutan
227;kota
228;medan
229;pekanbaru
230;jakarta
231;penumpang
232;hampir
233;setuju
234;pelayanan
235;layanan
236;dong
237;trans
238;padang
239;mahasiswa
240;transjakarta
241;bawa
242;buat
243;cuma
244;mungkin
245;satu
246;bukan
247;tujuan
248;coba
249;jadi
250;akhir
251;jangan
252;hari
253;buka
254;kendaraan
255;sedikit
256;kuliah
257;haha
258;hehe
259;habis
260;dulu
261;kayak
262;kali
263;kaya
264;anak
265;soal
266;memang
267;perlu
268;tadi
269;sering
270;kemarin
271;masyarakat
272;mohon
273;maaf
274;segera
275;padahal
276;buat
277;diperhatikan
278;tetap
279;semua
280;maaf
281;lanjut
282;disana
283;disini
284;kadang
285;dimana
286;bagaimana
287;wkwk
288;haha
289;hehe
290;tolong
291;sih
292;nya
293;iya
294;tidak
295;memperhatikan
296;terperhatikan
297;perhatikan
298;perhatiannya
299;pengguna
300;digunakan
301;menggunakan
302;tanggal
303;langganan
304;kiri
305;kanan
306;membantu
307;pulang
308;kerja
309;wadaw
310;mending
311;gaji
312;minggu
313;antar
314;anjir
315;pakai
316;padangnya
317;moda
318;janji
319;beberapa
320;masing
321;kabungnya
322;kapan
323;terlalu
324;agya
325;racing
326;kamu
327;apa
328;kok
329;wui
330;wtf
331;bakal
332;kan
333;soal
334;widih
335;nih
336;ini
337;itu
338;ayo
339;durian
340;taruang
341;wah
342;yra
343;didong
344;living
345;plaza
346;gramedia
347;dsri
348;loh
349;rpo
350;lalu
351;bayur
352;cuy
353;mah
354;lho
355;ibu
356;aku
357;per
358;wah
359;ibu
360;aaa
361;ami
362;nah
363;was
364;feb
365;mei
366;dua
367;lah
368;nge
369;deh
370;wib
371;ain
372;asa
373;bos
374;dek
375;tem
376;kes
377;dkk
378;aru
379;gia
380;mus
381;mim
382;yah
383;yey
384;des
385;aii
386;ygy
387;blo
388;yoo
389;mnt
390;itu
391;oke
392;duh
393;doh
394;buk
395;pak
396;ter
397;ajo
398;wow
399;wih
400;gtw
401;koo
402;yee
403;kam
404;nit
405;nja
406;waw
407;wis
408;bla
409;lik
410;bar
411;nih
412;sama
413;pernah
414;uhuy
415;banyak
416;antara
417;serasa
418;yuhu
419;maaa
420;padangnya
421;acik
422;mart
423;kecuali
424;perlu
425;diperlukan
426;memerlukan
427;woohoooo
428;wuiii
429;mereka
430;orang
431;mantap
432;jiwa
433;nyaman
434;akhirnya
435;selamat
436;atas
437;mana
438;tahu
439;kebanyakan
440;ojek
441;online
442;serius
443;syukur
444;antara
445;ber
446;woi
447;bagus
448;sukses
449;keren
450;aman
451;banget
452;tolong
